
Letter	Press	Release
a   	30  	158
b   	48  	176
c   	46  	174
d   	32  	160
e   	18  	146
f   	33  	161
g   	34  	162
h   	35  	163
i   	23  	151
j   	36  	164
k   	37  	165
l   	38  	166
m   	50  	178
n   	49  	177
o   	24  	152
p   	25  	153
q   	16  	144
r   	19  	147
s   	31  	159
t   	20  	148
u   	22  	150
v   	47  	175
w   	17  	145
x   	45  	173
y   	21  	149
z   	44  	172



Number	Press	Release
1	    2   	130
2	    3   	131
3	    4   	132
4	    5   	133
5	    6   	134
6	    7   	135
7	    8   	136
8	    9   	137
9	    10  	138
0	    11  	139
Symbol	Press	Release
'	    41  	169
-	    12  	140
\=	    13  	141
[	    27  	155
]	    41  	171
´	    26  	154
~	    40  	168
ç	    39  	167
/	    115 	243
;	    53  	181
.	    52  	180
,	    51  	179
\	    86  	214



Upper	Press	Release
Esc	    1   	129
F1	    59  	187
F2	    60  	188
F3	    61  	189
F4	    62  	190
F5	    63  	191
F6	    64  	192
F7	    65  	193
F8	    66  	194
F9	    67  	195
F10	    68  	196
F11	    87  	215
F12	    88  	216
Print	224	    42
	    224	    55
	    224	    183
	    224	    170
Scroll	70	    198
Pause	225	    29
	    69	    225
	    157	    197



Control 	Press	Release
backspace	14  	142
enter	    28  	156
tab     	15	    143
caps	    58  	186
shift r	    54  	182
shift l	    42  	170
ctrl l	    29  	157
win l	    224 	91
	        224 	219
alt l	    56  	184
space	    57  	185
alt r	    224 	56
	        224 	184
win r	    224 	92
    	    224 	220
options	    224 	23
	        224 	221



Arrow	    Press	Release
up	        224	    42
	        224	    72
	        224	    200
	        224	    170
down	    224	    42
	        224	    80
	        224	    208
	        224	    170
left	    224	    42
	        224	    75
	        224	    203
	        224	    170
right	    224	    42
	        224	    77
	        224	    205
	        224	    170
insert	    224	    42
	        224	    82
	        224	    210
	        224	    170
delete	    224	    42
	        224	    83
	        224	    211
	        224	    170
home	    224	    42
	        224	    71
	        224	    199
	        224	    170
end	        224	    42
	        224	    79
	        224	    207
	        224	    170
pag up	    224	    42
	        224	    73
	        224	    201
	        224	    170
pag down	224	    42
	        24	    81
	        24	    209
	        24	    170


Numeric Press	Release
/	    224 	53
	    224 	181
*	    55  	183
-	    74  	202
\+	    78  	206
.	    126 	254
,	    83  	211
0	    82  	210
1	    79  	207
2	    80  	208
3	    81  	209
4	    75  	203
5	    76  	204
6	    77  	205
7	    71  	199
8	    72  	200
9	    73  	201
enter	224 	28
	    224 	156
